Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-16690000021,01/02/19,5124,Price Chopper  /  Johnston,5440 NW  86th St,Johnston,50131,POINT (-93.738772 41.65919800000001),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,9.64,14.46,24,347.04,18,4.75
INV-16700900008,01/02/19,4277,Cork It!,769 Prospect St SW,Le Mars,51031,POINT (-96.178219 42.776296),75,PLYMOUTH,1081400,American Schnapps,380,Phillips Beverage,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,12,99,12,3.17
INV-16695100008,01/02/19,4324,Dayton Community Grocery,22 North Main,Dayton,50530,POINT (-94.068439 42.26168),94,WEBSTER,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64867,Fireball Cinnamon Whiskey,12,1000,11.34,17.01,12,204.12,12,3.17
INV-16691900033,01/02/19,4446,QUIK TRIP #513 / URBANDALE,4600 Merle Hay Rd,Urbandale,50322,POINT (-93.697999 41.644296),77,POLK,1031100,American Vodkas,205,E & J Gallo Winery,36969,New Amsterdam 80prf,12,750,7.5,11.25,2,22.5,1.5,0.39
INV-16685800003,01/02/19,5258,Oky Doky # 8 Foods,"535, Hill Street",Dubuque,52001,POINT (-90.673985 42.496794),31,DUBUQUE,1062200,White Rum,35,BACARDI USA INC,43124,Bacardi Superior,24,375,4.5,6.75,24,162,9,2.37
INV-16700400016,01/02/19,4231,Fareway Stores #719 / Le Mars,115 Plymouth St NE,Le Mars,51031,POINT (-96.164909 42.793066),75,PLYMOUTH,1071100,Cocktails /RTD,421,SAZERAC COMPANY  INC,59231,Ice Box Mudslide,6,1750,5.42,8.13,6,48.78,10.5,2.77
INV-16696500001,01/02/19,5599,Kwik Stop 4,515 Broadway St,Waterloo,50703,POINT (-92.345106 42.510792),7,BLACK HAWK,1041100,American Dry Gins,370,PERNOD RICARD USA,32236,Seagrams Extra Dry Gin,12,750,6.49,9.74,12,116.88,9,2.37
INV-16690500081,01/02/19,2665,Hy-Vee / Waukee,1005 E Hickman Rd,Waukee,50263,POINT (-93.854477 41.615059),25,DALLAS,1031200,American Flavored Vodka,380,Phillips Beverage,41688,UV Blue Raspberry PET,12,750,6.5,9.75,12,117,9,2.37
INV-16686000085,01/02/19,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1031100,American Vodkas,300,McCormick Distilling Co.,36887,McCormick Vodka,12,1000,4.13,6.2,12,74.4,12,3.17
INV-16694300072,01/02/19,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68022,Baileys Salted Caramel,12,750,13,19.5,3,58.5,2.25,0.59
INV-16691900012,01/02/19,4446,QUIK TRIP #513 / URBANDALE,4600 Merle Hay Rd,Urbandale,50322,POINT (-93.697999 41.644296),77,POLK,1062400,Spiced Rum,260,DIAGEO AMERICAS,43336,Captain Morgan Original Spiced,12,750,9.06,13.59,8,108.72,6,1.58
INV-16695500034,01/02/19,5471,World Liquor & Tobacco + Vapors,1030 8th St,Boone,50036,POINT (-93.876918 42.063831),8,BOONE,1032100,Imported Vodkas,370,PERNOD RICARD USA,34004,Absolut Swedish Vodka 80prf,24,375,4.99,7.49,24,179.76,9,2.37
INV-16690100039,01/02/19,3691,Target Store T-1791 / Urbandale,11148 Plum Dr,Urbandale,50322,POINT (-93.769776 41.646972),77,POLK,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.33,6,103.98,10.5,2.77
INV-16698700073,01/02/19,4589,Dyno's #53 / Sibley,1026 2nd Ave,Sibley,51249,POINT (-95.752119 43.397431),72,OSCEOLA,1031200,American Flavored Vodka,380,Phillips Beverage,41704,UV Red Cherry,12,750,6.5,9.75,1,9.75,0.75,0.19
INV-16697700021,01/02/19,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701,,7,BLACK HAWK,1031100,American Vodkas,300,McCormick Distilling Co.,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-16694000001,01/02/19,4310,Fareway Stores #502 / Cherokee,205 West Bluff St,Cherokee,51012,POINT (-95.551866 42.75508),18,CHEROKEE,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut Rum,12,750,7.49,11.24,12,134.88,9,2.37
INV-16700300002,01/02/19,3742,Wal-Mart 1625 / Lemars,1111 Holton Dr,Lemars,51031,POINT (-96.185499 42.780675),75,Plymouth,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,20248,Old Crow,6,1750,10.5,15.75,6,94.44,10.5,2.77
INV-16696800013,01/02/19,5691,Logan Ave Convenience Store / Waterloo,735 Logan Ave,Waterloo,50703,POINT (-92.337744 42.510453),7,BLACK HAWK,1031100,American Vodkas,255,Infinium Spirits,37889,Seagrams Extra Smooth Vodka,12,375,2.8,4.2,12,50.4,4.5,1.18
INV-16701800016,01/02/19,3484,Jeff's Foods,110 W Cedar St,Marcus,51035,POINT (-95.808579 42.825681),18,CHEROKEE,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67526,Kahlua Coffee,12,750,12.49,18.74,1,18.74,0.75,0.19
INV-16688300017,01/02/19,5176,Smokin' Joe's #15 Tobacco and Liquor Outlet,455 Edgewood Rd NW,Cedar Rapids,52405,POINT (-91.715903 41.97805),57,LINN,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,9.64,14.46,12,173.52,9,2.37
INV-16686800073,01/02/19,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34458,Ketel One,6,1750,22,33,2,66,3.5,0.92
INV-16687100042,01/02/19,5437,Great Pastimes,228 N Main St.,Monticello,52310,POINT (-91.183413 42.24013200000001),53,JONES,1032100,Imported Vodkas,260,DIAGEO AMERICAS,36871,Ciroc 80prf,12,750,16.49,24.74,2,49.48,1.5,0.39
INV-16677000017,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28,10.5,2.77
INV-16679100093,01/02/19,2549,Hy-Vee Food Store / Indianola,910 N Jefferson,Indianola,50125,,91,WARREN,1082200,Imported Schnapps,260,DIAGEO AMERICAS,69945,Rumple Minze Peppermint Schnapps Liqueur,12,375,7.26,10.89,1,10.89,0.37,0.09
INV-16688600042,01/02/19,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.665659 42.021931),57,LINN,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75208,Kinky Mini,6,500,4.84,7.26,1,7.26,0.5,0.13
INV-16679800067,01/02/19,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6th St SW,Cedar Rapids,52404,POINT (-91.67706 41.962419),57,LINN,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65256,Jagermeister Liqueur,12,750,12.45,18.68,12,224.16,9,2.37
INV-16680000068,01/02/19,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77632,Smirnoff Blueberry,12,750,8.25,12.38,2,24.76,1.5,0.39
INV-16679300049,01/02/19,4482,Indy 66 West #929 / Indianola,2001 W 2nd Ave,Indianola,50125,POINT (-93.58762800000001 41.356153),91,WARREN,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka 80prf,12,750,8.25,12.38,5,61.9,3.75,0.99
INV-16678200004,01/02/19,4596,Quik Trip #534 / E University DM,2945 E University,Des Moines,50317,POINT (-93.558972 41.600468),77,POLK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11773,Black Velvet,48,200,1.56,2.34,4,9.36,0.8,0.21
INV-16694800007,01/02/19,5377,Casey's General Store # 2517/ Rockwell City,627 High St.,Rockwell City,50579,POINT (-94.637172 42.398728),13,CALHOUN,1031100,American Vodkas,260,DIAGEO AMERICAS,37994,Smirnoff 80prf,24,375,4.75,7.13,24,171.12,9,2.37
INV-16696200042,01/02/19,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613,POINT (-92.435236 42.512789),7,BLACK HAWK,1041100,American Dry Gins,65,Jim Beam Brands,30236,Gilbeys Gin,12,750,5,7.5,5,35.4,3.75,0.99
INV-16678400020,01/02/19,3696,Wal-Mart 1723 / Des Moines,5101 SE 14th St,Des Moines,50315,,77,POLK,1032100,Imported Vodkas,35,BACARDI USA INC,34423,Grey Goose,12,375,9,13.5,12,162,4.5,1.18
INV-16696700038,01/02/19,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,BLACK HAWK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,6.63,9.95,36,358.2,36,9.51
INV-16689800002,01/02/19,2663,Hy-Vee Food Store / Urbandale,8701 Douglas,Urbandale,50322,POINT (-93.739105 41.629364),77,POLK,1032100,Imported Vodkas,420,MOET HENNESSY USA,33971,Belvedere Intense Unfiltered,6,750,18.99,28.49,6,170.94,4.5,1.18
INV-16692700008,01/02/19,5010,Sac City Food Pride,106 S 16th St,Sac City,50583,POINT (-95.002637 42.422404),81,SAC,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka 80prf,12,750,8.25,12.38,3,37.14,2.25,0.59
INV-16683100003,01/02/19,5219,Kirkwood Liquor & Tobacco,"300, Kirkwood Ave",Iowa City,52240,POINT (-91.531628 41.649432),52,JOHNSON,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,9.64,14.46,12,173.52,9,2.37
INV-16691500009,01/02/19,4792,Casey's General Store #2899 / De Soto,1100 Greene St,De Soto,50069,POINT (-94.02064300000002 41.614398),25,DALLAS,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,30,45,3,135,9,2.37
INV-16694900003,01/02/19,5492,Heartland Market,319 Court St,Rockwell City,50579,POINT (-94.632453 42.394636),13,CALHOUN,1032100,Imported Vodkas,370,PERNOD RICARD USA,34007,Absolut Swedish Vodka 80prf,12,1000,14.99,22.49,3,67.47,3,0.79
INV-16698400017,01/02/19,2661,Hy-Vee Food Store / Sheldon,1989 Park St,Sheldon,51201,POINT (-95.831721 43.186038),71,OBRIEN,1031100,American Vodkas,322,Prestige Wine & Spirits Group,37147,Opulent Vodka,12,750,8.5,12.75,3,38.25,2.25,0.59
INV-16683800002,01/02/19,5460,Smokin Joe's # 6 Tobacco and Liquor Outlet,2411 2nd St Ste 4,Coralville,52241,POINT (-91.599549 41.68363),52,JOHNSON,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86881,Southern Comfort Mini,10,600,5.65,8.48,2,16.96,1.2,0.31
INV-16685400091,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1081300,American Cordials & Liqueur,434,LUXCO INC,78616,Arrow Creme de Cacao White,12,750,4.74,7.11,12,85.32,9,2.37
INV-16684300049,01/02/19,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002,POINT (-90.741064 42.516633),31,DUBUQUE,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35944,Fleischmann's Royal Vodka,24,375,1.74,2.61,24,62.64,9,2.37
INV-16677300006,01/02/19,4361,Quik Trip #538 / NW 2nd / DSM,4575 NW 2nd,Des Moines,50313,POINT (-93.619906 41.643664),77,POLK,1062400,Spiced Rum,260,DIAGEO AMERICAS,43333,Captain Morgan Spiced Rum Pet,48,200,2.75,4.13,18,74.34,3.6,0.95
INV-16688200034,01/02/19,5341,JJ's on Johnson,235 Edgewood Rd NW,Cedar Rapids,52405,POINT (-91.715929 41.974231),57,LINN,1031100,American Vodkas,260,DIAGEO AMERICAS,37998,Smirnoff 80prf,6,1750,14.75,22.13,2,44.26,3.5,0.92
INV-16688600032,01/02/19,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.665659 42.021931),57,LINN,1011100,Blended Whiskies,297,Laird & Company,23626,Five Star PET,12,750,3.5,5.25,6,31.5,4.5,1.18
INV-16695900005,01/02/19,3769,Wal-Mart 0753 / Cedar Fall,525 Brandilynn Blvd,Cedar Falls,50613,POINT (-92.440394 42.485042),7,BLACK HAWK,1011100,Blended Whiskies,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,11,16.5,6,99,10.5,2.77
INV-16689400023,01/02/19,3625,Wal-Mart 0892 / Ankeny,1002 SE National Dr,Ankeny,50021,POINT (-93.582348 41.70486400000001),77,POLK,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut Rum,12,750,7.49,11.24,12,134.88,9,2.37
INV-16684500005,01/02/19,3944,Sam's Club 4973 / Dubuque,4400 Asbury Rd,Dubuque,52002,POINT (-90.737821 42.515289),31,DUBUQUE,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11297,Crown Royal,12,1000,18.89,28.34,144,4080.96,144,38.04
INV-16693400017,01/02/19,5635,"Brew, Gas, Coffee, Spirit, Cigaratte",404  11th St,Correctionville,51016,POINT (-95.785271 42.482223),97,WOODBURY,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11773,Black Velvet,48,200,1.56,2.34,48,112.32,9.6,2.53
INV-16685700033,01/02/19,2465,Sid's Beverage Shop,2727 Dodge St,Dubuque,52003,POINT (-90.705328 42.491862),31,DUBUQUE,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35947,Fleischmann's Royal Vodka,12,1000,3.5,5.25,12,72,12,3.17
INV-16698600065,01/02/19,5423,Stammer Liquor Corp,615 2nd Ave,Sheldon,51201,POINT (-95.854899 43.184242),71,OBRIEN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86885,Southern Comfort PET,12,750,10.33,15.5,12,186,9,2.37
INV-16685700022,01/02/19,2465,Sid's Beverage Shop,2727 Dodge St,Dubuque,52003,POINT (-90.705328 42.491862),31,DUBUQUE,1031100,American Vodkas,260,DIAGEO AMERICAS,40926,Smirnoff Silver 90prf,12,750,8.25,12.38,1,12.38,0.75,0.19
INV-16682500046,01/02/19,5111,Creekside Market,2601 Hwy 6 East,Iowa City,52240,POINT (-91.493643 41.633009),52,JOHNSON,1062400,Spiced Rum,260,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced Rum Pet,12,750,9.06,13.59,3,40.77,2.25,0.59
INV-16680200111,01/02/19,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77632,Smirnoff Blueberry,12,750,8.25,12.38,4,49.52,3,0.79
INV-16680800041,01/02/19,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1022200,100% Agave Tequila,260,DIAGEO AMERICAS,89154,Don Julio Reposado,6,750,31.49,47.24,1,47.24,0.75,0.19
INV-16696700031,01/02/19,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,BLACK HAWK,1062200,White Rum,434,LUXCO INC,45277,Paramount White Rum,12,1000,4.42,6.63,12,79.56,12,3.17
INV-16689800087,01/02/19,2663,Hy-Vee Food Store / Urbandale,8701 Douglas,Urbandale,50322,POINT (-93.739105 41.629364),77,POLK,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34821,Svedka 80prf,6,1750,13,19.5,24,468,42,11.09
INV-16701800027,01/02/19,3484,Jeff's Foods,110 W Cedar St,Marcus,51035,POINT (-95.808579 42.825681),18,CHEROKEE,1011100,Blended Whiskies,434,LUXCO INC,24156,Hawkeye Blended Whiskey,12,750,3.5,5.25,1,5.25,0.75,0.19
INV-16690900024,01/02/19,4137,Fareway Stores #989 / Waukee,200 SE Laurel St,Waukee,50263,POINT (-93.86786 41.614033),25,DALLAS,1081400,American Schnapps,434,LUXCO INC,84456,Paramount Peach Schnapps,12,750,5,7.5,3,22.5,2.25,0.59
INV-16693400030,01/02/19,5635,"Brew, Gas, Coffee, Spirit, Cigaratte",404  11th St,Correctionville,51016,POINT (-95.785271 42.482223),97,WOODBURY,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19473,Makers Mark,24,200,5,7.5,2,15,0.4,0.1
INV-16694700003,01/02/19,5159,Kimmes Rockwell City Country Store #,"730, High St",Rockwell City,50579,POINT (-94.638843 42.39872),13,CALHOUN,1062400,Spiced Rum,260,DIAGEO AMERICAS,1799,Captain Morgan Spiced Barrel,6,1750,18,27,6,162,10.5,2.77
INV-16689700009,01/02/19,5211,Kum & Go #129  /  Johnston,5225 NW  86th  St,Johnston,50131,POINT (-93.736395 41.655804),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,2,16,0.75,0.19
INV-16690000015,01/02/19,5124,Price Chopper  /  Johnston,5440 NW  86th St,Johnston,50131,POINT (-93.738772 41.65919800000001),77,POLK,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-16698400108,01/02/19,2661,Hy-Vee Food Store / Sheldon,1989 Park St,Sheldon,51201,POINT (-95.831721 43.186038),71,OBRIEN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,86698,Jack Daniels Tennessee Fire,24,375,7.5,11.25,3,33.75,1.12,0.29
INV-16682800186,01/02/19,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1st Ave,Iowa City,52240,,52,JOHNSON,1081400,American Schnapps,65,Jim Beam Brands,82846,Dekuyper Luscious Peachtree,12,750,6.5,9.75,12,116.52,9,2.37
INV-16681800002,01/02/19,2285,John's Grocery,401 East Market St,Iowa City,52240,POINT (-91.529854 41.663541),52,JOHNSON,1082000,Imported Cordials & Liqueurs,305,Mhw LTD,66240,Rothman & Winter Creme de Violette,12,750,12.42,18.63,12,223.56,9,2.37
INV-16687500127,01/02/19,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404,POINT (-91.658577 41.955859),57,LINN,1062200,White Rum,35,BACARDI USA INC,43123,Bacardi Superior,48,200,2.5,3.75,3,11.25,0.6,0.15
INV-16699300003,01/02/19,5112,The Bottle Shop,"315, S Main St",Inwood,51240,POINT (-96.43194 43.307173),60,LYON,1022200,100% Agave Tequila,65,Jim Beam Brands,88540,Hornitos Lime Shot,12,750,13.5,20.25,4,75,3,0.79
INV-16679900072,01/02/19,5142,Smokin' Joe's #13 Tobacco and Liquor Outlet,2315 Mt Vernon Rd SE,Cedar Rapids,52303,,57,Linn,1051100,American Brandies,205,E & J Gallo Winery,52596,E & J VS,12,750,6.5,9.75,12,117,9,2.37
INV-16680800106,01/02/19,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1062400,Spiced Rum,260,DIAGEO AMERICAS,43336,Captain Morgan Original Spiced,12,750,9.06,13.59,12,163.08,9,2.37
INV-16691700004,01/02/19,4868,Kum & Go #59 / Waukee,400 Prairie Bluff Dr,Waukee,50263,POINT (-93.880018 41.565606),25,DALLAS,1011400,Tennessee Whiskies,85,Brown Forman Corp.,86691,Jack Daniels Tennessee Fire Mini,12,500,9.06,13.59,2,27.18,1,0.26
INV-16678000049,01/02/19,2532,Hy-Vee Food Store #2 / Des Moines,2540 E Euclid,Des Moines,50317,POINT (-93.569452 41.627838),77,POLK,1031200,American Flavored Vodka,255,Infinium Spirits,39659,Seagrams Juicy Watermelon Vodka,12,750,5.38,8.07,12,96.84,9,2.37
INV-16687800016,01/02/19,4921,Market Express,5340 16th Ave SW,Cedar Rapids,52404,POINT (-91.739906 41.963888),57,LINN,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
INV-16698100051,01/02/19,4193,Hartley Wine And Spirits,361  3rd St NW,Hartley,51346,POINT (-95.482442 43.184882),71,OBRIEN,1081600,Whiskey Liqueur,260,DIAGEO AMERICAS,67267,Yukon Jack,12,1000,11.75,17.63,4,70.52,4,1.05
INV-16684800001,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11588,Black Velvet Reserve,6,1750,12.99,19.49,12,233.88,21,5.54
INV-16680200213,01/02/19,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1031200,American Flavored Vodka,380,Phillips Beverage,41691,UV Blue Raspberry Mini,12,500,4.4,6.6,5,33,2.5,0.66
INV-16684600003,01/02/19,3632,Wal-Mart 2004 / Dubuque,4200 Dodge St,Dubuque,52003,POINT (-90.736955 42.489041),31,DUBUQUE,1051100,American Brandies,65,Jim Beam Brands,54706,Dekuyper Blackberry Brandy,12,750,4.5,6.75,12,80.16,9,2.37
INV-16684600035,01/02/19,3632,Wal-Mart 2004 / Dubuque,4200 Dodge St,Dubuque,52003,POINT (-90.736955 42.489041),31,DUBUQUE,1051100,American Brandies,205,E & J Gallo Winery,73780,E & J Vanilla,12,750,6.5,9.75,12,117,9,2.37
INV-16701000002,01/02/19,2660,HY-VEE FOOD STORE / SIOUX CENTER,1951 S Main Ave,Sioux Center,51250,POINT (-96.175695 43.056471),84,SIOUX,1081300,American Cordials & Liqueur,434,LUXCO INC,76486,Paramount Amaretto,12,750,3.5,5.25,12,63,9,2.37
INV-16688200006,01/02/19,5341,JJ's on Johnson,235 Edgewood Rd NW,Cedar Rapids,52405,POINT (-91.715929 41.974231),57,LINN,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19068,Jim Beam,6,1750,21,31.5,2,62.98,3.5,0.92
INV-16702300039,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1042100,Imported Dry Gins,260,DIAGEO AMERICAS,28867,Tanqueray Gin,12,1000,15.5,23.25,1,23.25,1,0.26
INV-16680500036,01/02/19,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1051100,American Brandies,434,LUXCO INC,54447,Paramount Apricot Brandy,12,1000,6.53,9.8,12,117.6,12,3.17
INV-16688200041,01/02/19,5341,JJ's on Johnson,235 Edgewood Rd NW,Cedar Rapids,52405,POINT (-91.715929 41.974231),57,LINN,1062200,White Rum,434,LUXCO INC,45276,Paramount White Rum,12,750,4,6,12,72,9,2.37
INV-16702300015,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1031100,American Vodkas,297,Laird & Company,35914,Five O'Clock Vodka,24,375,1.93,2.9,3,8.7,1.12,0.29
INV-16700700002,01/02/19,2604,Hy-Vee Wine and Spirits / Lemars,1201 12th Ave SW,Lemars,51031,POINT (-96.18335000000002 42.778257),75,Plymouth,1082000,Imported Cordials & Liqueurs,461,Skyy Spirits Inc,64996,Frangelico Liqueur,12,750,14.5,21.75,6,130.5,4.5,1.18
INV-16697700027,01/02/19,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701,,7,BLACK HAWK,1012100,Canadian Whiskies,421,SAZERAC COMPANY  INC,12888,Rich & Rare,6,1750,8.98,13.47,2,26.94,3.5,0.92
INV-16677700025,01/02/19,4819,Super Stop 2 / Altoona,2635 Adventureland Dr,Altoona,50009,POINT (-93.494642 41.65854),77,POLK,1081600,Whiskey Liqueur,259,Heaven Hill Brands,27453,Cinerator Mini,12,500,4.25,6.38,3,19.14,1.5,0.39
INV-16694700012,01/02/19,5159,Kimmes Rockwell City Country Store #,"730, High St",Rockwell City,50579,POINT (-94.638843 42.39872),13,CALHOUN,1022100,Mixto Tequila,395,PROXIMO,89194,Jose Cuervo Especial Reposado Flask,24,375,5.5,8.25,4,33,1.5,0.39
INV-16693900019,01/02/19,5441,Liquor on the Corner,300 East Main,Cherokee,51012,POINT (-95.547298 42.749597),18,CHEROKEE,1012100,Canadian Whiskies,55,SAZERAC NORTH AMERICA,11936,Canadian Ltd Whisky Convenience Pack,12,750,4.34,6.51,12,78.12,9,2.37
INV-16701200005,01/02/19,4256,Fareway Stores #912 / Sioux Center,115  1st Ave NW,Sioux Center,51250,POINT (-96.176959 43.078003),84,SIOUX,1081400,American Schnapps,434,LUXCO INC,81206,Paramount Peppermint Schnapps,12,750,4,6,12,72,9,2.37
INV-16701100008,01/02/19,3981,Wal-Mart 1152 / Sioux Center,255 16th St SW,Sioux Center,51250,POINT (-96.179835 43.060881),84,SIOUX,1031100,American Vodkas,205,E & J Gallo Winery,36971,New Amsterdam 80prf,6,1750,14,21,6,126,10.5,2.77
INV-16701500029,01/02/19,5357,Gameday Liquor/ Orange City,632 8th St. SE,Orange City,51041,POINT (-96.051138 42.99748400000001),84,SIOUX,1051100,American Brandies,259,Heaven Hill Brands,52317,Christian Bros Brandy-Square,12,1000,7.11,10.67,1,10.67,1,0.26
INV-16686800130,01/02/19,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77842,Smirnoff Strawberry,12,750,8.25,12.38,4,49.52,3,0.79
INV-16690300007,01/02/19,4449,Kum & Go #121 / Urbandale,12041 Douglas Pkwy,Urbandale,50322,,77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,8.25,12.38,6,74.28,4.5,1.18
INV-16693500021,01/02/19,3650,"Spirits, Stogies and Stuff",118 South Main St.,Holstein,51025,POINT (-95.544794 42.488704),47,IDA,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11788,Black Velvet,6,1750,10.45,15.68,12,188.16,21,5.54
INV-16684200009,01/02/19,5359,Fareway Stores #168/ Peosta,8400 NICC Drive,Peosta,52068,,31,DUBUQUE,1081400,American Schnapps,434,LUXCO INC,80577,Arrow Peppermint Schnapps,12,1000,3.84,5.76,12,69.12,12,3.17
INV-16679400005,01/02/19,4138,Fareway Stores #657 / Indianola,1309 W 2nd,Indianola,50125,POINT (-93.579252 41.356616),91,WARREN,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,13,19.5,12,234,9,2.37
INV-16681500008,01/02/19,5405,Kum & Go #524/ Coralville,2600 Holiday Rd,Coralville,52241,POINT (-91.607454 41.700517),52,JOHNSON,1031100,American Vodkas,260,DIAGEO AMERICAS,37994,Smirnoff 80prf,24,375,4.75,7.13,16,114.08,6,1.58
